Sample_name,Locus,sample_id,sample,tech,Hash,nReads,rank,kingdom,phylum,class,order,family,genus,species,taxon,type,Run,source,EGC_ID,site_month,mc_rm
1,BF3,WACO21-639-a,WACO21-639,1,a1838aa9dada31ad691af4a088a8ab9f36db04b4,80,family,NA,NA,Phaeophyceae,Ectocarpales,Chordariaceae,NA,NA,Chordariaceae,Sample,4,Samples,WACO.2021.639,Stackpole-Sep,0
1,BF3,WACO21-639-a,WACO21-639,1,92d8d28b917a6e2d05d11ccb940727b318ef46ac,16,species,NA,NA,Phaeophyceae,Ectocarpales,Chordariaceae,Myrionema,Myrionema balticum,Myrionema balticum,Sample,4,Samples,WACO.2021.639,Stackpole-Sep,0
2,BF3,WACO21-639-b,WACO21-639,2,a1838aa9dada31ad691af4a088a8ab9f36db04b4,70,family,NA,NA,Phaeophyceae,Ectocarpales,Chordariaceae,NA,NA,Chordariaceae,Sample,4,Samples,WACO.2021.639,Stackpole-Sep,0
2,BF3,WACO21-639-b,WACO21-639,2,92d8d28b917a6e2d05d11ccb940727b318ef46ac,15,species,NA,NA,Phaeophyceae,Ectocarpales,Chordariaceae,Myrionema,Myrionema balticum,Myrionema balticum,Sample,4,Samples,WACO.2021.639,Stackpole-Sep,0
2,BF3,WACO21-639-b,WACO21-639,2,9000086c7ef6bf0c0373b4e1f6005c180addade5,18,species,Metazoa,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,Botrylloides violaceus,Botrylloides violaceus,Sample,4,Samples,WACO.2021.639,Stackpole-Sep,0
2,BF3,WACO21-639-b,WACO21-639,2,dd05b8682490c4746b745a994cd0292f24521b45,6,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,Hemigrapsus oregonensis,Hemigrapsus oregonensis,Sample,4,Samples,WACO.2021.639,Stackpole-Sep,0
3,BF3,WACO21-639-c,WACO21-639,3,a1838aa9dada31ad691af4a088a8ab9f36db04b4,53,family,NA,NA,Phaeophyceae,Ectocarpales,Chordariaceae,NA,NA,Chordariaceae,Sample,4,Samples,WACO.2021.639,Stackpole-Sep,0
3,BF3,WACO21-639-c,WACO21-639,3,4964f8a91b348ee32abd6c336adc9fd275a515f6,8,species,Viridiplantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,Ulva compressa,Ulva compressa,Sample,4,Samples,WACO.2021.639,Stackpole-Sep,0
3,BF3,WACO21-639-c,WACO21-639,3,92d8d28b917a6e2d05d11ccb940727b318ef46ac,11,species,NA,NA,Phaeophyceae,Ectocarpales,Chordariaceae,Myrionema,Myrionema balticum,Myrionema balticum,Sample,4,Samples,WACO.2021.639,Stackpole-Sep,0
3,BF3,WACO21-639-c,WACO21-639,3,f7154236f9891995c0111e768d900775f688f1d1,23,species,NA,NA,Phaeophyceae,Ectocarpales,Chordariaceae,Leathesia,Leathesia marina,Leathesia marina,Sample,4,Samples,WACO.2021.639,Stackpole-Sep,0
