Sample_name,Locus,Hash,nReads,rank,kingdom,phylum,class,order,family,genus,species,taxon,Sample_label,sample,tech,Run,source,EGC_ID,site_month,mc_rm
9,BF3,615353d8c93c88d9a9d3dff7ca38a44fe8b35333,33,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,Hemigrapsus oregonensis,Hemigrapsus oregonensis,WACO21-503-c,WACO21-503,3,5,Samples,WACO.2021.503,Nahcotta-Sep,0
9,BF3,0e1aa557f0a9be7391c396a6b8fb1b8aee78a636,103,species,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex tritaeniorhynchus,Culex tritaeniorhynchus,WACO21-503-c,WACO21-503,3,5,Samples,WACO.2021.503,Nahcotta-Sep,0
11,BF3,abeeaaf398e54b483ca339f8874d994ac08dbcdc,552,species,Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,Sus scrofa,WACO21-573-b,WACO21-573,2,5,Samples,WACO.2021.573,Nahcotta-Sep,0
14,BF3,41b729c40090467034a08ffa508fb6dc3b2f320c,61,family,NA,NA,Phaeophyceae,Ectocarpales,Chordariaceae,NA,NA,Chordariaceae,WACO21-642-b,WACO21-642,2,5,Samples,WACO.2021.642,Stackpole-Sep,0
14,BF3,9000086c7ef6bf0c0373b4e1f6005c180addade5,176,species,Metazoa,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,Botrylloides violaceus,Botrylloides violaceus,WACO21-642-b,WACO21-642,2,5,Samples,WACO.2021.642,Stackpole-Sep,0
14,BF3,f7154236f9891995c0111e768d900775f688f1d1,5,species,NA,NA,Phaeophyceae,Ectocarpales,Chordariaceae,Leathesia,Leathesia marina,Leathesia marina,WACO21-642-b,WACO21-642,2,5,Samples,WACO.2021.642,Stackpole-Sep,0
15,BF3,41b729c40090467034a08ffa508fb6dc3b2f320c,905,family,NA,NA,Phaeophyceae,Ectocarpales,Chordariaceae,NA,NA,Chordariaceae,WACO21-642-c,WACO21-642,3,5,Samples,WACO.2021.642,Stackpole-Sep,0
16,BF3,7542298ff77e2a821b8ef59f48bb3d4e03f356ee,19824,genus,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,NA,Hemigrapsus,WACO21-645-a,WACO21-645,1,5,Samples,WACO.2021.645,Stackpole-Sep,0
16,BF3,dece3bdcf5b0e07a53abb9eb00cef1e2ace87145,2352,genus,NA,NA,Phaeophyceae,Fucales,Fucaceae,Fucus,NA,Fucus,WACO21-645-a,WACO21-645,1,5,Samples,WACO.2021.645,Stackpole-Sep,0
16,BF3,a4e58604cf1b5bdeed50a1e6611f47ec3d929390,575,genus,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,NA,Hemigrapsus,WACO21-645-a,WACO21-645,1,5,Samples,WACO.2021.645,Stackpole-Sep,0
16,BF3,1a9ec5599e84fd3d5965b8e087b44a319927e990,503,genus,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,NA,Hemigrapsus,WACO21-645-a,WACO21-645,1,5,Samples,WACO.2021.645,Stackpole-Sep,0
16,BF3,8fa7028c472b45b95822ef046435b20ded043e59,798,species,Metazoa,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,Hediste diadroma,Hediste diadroma,WACO21-645-a,WACO21-645,1,5,Samples,WACO.2021.645,Stackpole-Sep,0
16,BF3,cd4a26dd65196a5e19a270696f5b7de170847698,273,genus,Metazoa,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,NA,Hediste,WACO21-645-a,WACO21-645,1,5,Samples,WACO.2021.645,Stackpole-Sep,0
16,BF3,3e14b50716d56340797d13f903341aacee576a4c,311,genus,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,NA,Hemigrapsus,WACO21-645-a,WACO21-645,1,5,Samples,WACO.2021.645,Stackpole-Sep,0
16,BF3,227d25cb76caf3b129a1654a639665f316484dda,6,genus,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,NA,Hemigrapsus,WACO21-645-a,WACO21-645,1,5,Samples,WACO.2021.645,Stackpole-Sep,0
17,BF3,7542298ff77e2a821b8ef59f48bb3d4e03f356ee,3767,genus,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,NA,Hemigrapsus,WACO21-645-b,WACO21-645,2,5,Samples,WACO.2021.645,Stackpole-Sep,0
17,BF3,615353d8c93c88d9a9d3dff7ca38a44fe8b35333,38,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,Hemigrapsus oregonensis,Hemigrapsus oregonensis,WACO21-645-b,WACO21-645,2,5,Samples,WACO.2021.645,Stackpole-Sep,0
17,BF3,dece3bdcf5b0e07a53abb9eb00cef1e2ace87145,62,genus,NA,NA,Phaeophyceae,Fucales,Fucaceae,Fucus,NA,Fucus,WACO21-645-b,WACO21-645,2,5,Samples,WACO.2021.645,Stackpole-Sep,0
17,BF3,a4e58604cf1b5bdeed50a1e6611f47ec3d929390,141,genus,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,NA,Hemigrapsus,WACO21-645-b,WACO21-645,2,5,Samples,WACO.2021.645,Stackpole-Sep,0
17,BF3,1a9ec5599e84fd3d5965b8e087b44a319927e990,105,genus,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,NA,Hemigrapsus,WACO21-645-b,WACO21-645,2,5,Samples,WACO.2021.645,Stackpole-Sep,0
17,BF3,8fa7028c472b45b95822ef046435b20ded043e59,102,species,Metazoa,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,Hediste diadroma,Hediste diadroma,WACO21-645-b,WACO21-645,2,5,Samples,WACO.2021.645,Stackpole-Sep,0
17,BF3,3540091f6538d8a6fe6f8bfe6ec6c17f793fcbbe,6,order,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,NA,NA,NA,Caryophyllales,WACO21-645-b,WACO21-645,2,5,Samples,WACO.2021.645,Stackpole-Sep,0
18,BF3,7542298ff77e2a821b8ef59f48bb3d4e03f356ee,9109,genus,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,NA,Hemigrapsus,WACO21-645-c,WACO21-645,3,5,Samples,WACO.2021.645,Stackpole-Sep,0
18,BF3,5912de453e37344840868fe7776e6f84659742f2,473,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,Hemigrapsus oregonensis,Hemigrapsus oregonensis,WACO21-645-c,WACO21-645,3,5,Samples,WACO.2021.645,Stackpole-Sep,1
18,BF3,3808f4b8e372dc71ac2e880abbaf685abc01b6b2,320,species,Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,Sus scrofa,WACO21-645-c,WACO21-645,3,5,Samples,WACO.2021.645,Stackpole-Sep,0
18,BF3,dece3bdcf5b0e07a53abb9eb00cef1e2ace87145,289,genus,NA,NA,Phaeophyceae,Fucales,Fucaceae,Fucus,NA,Fucus,WACO21-645-c,WACO21-645,3,5,Samples,WACO.2021.645,Stackpole-Sep,0
18,BF3,a4e58604cf1b5bdeed50a1e6611f47ec3d929390,259,genus,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,NA,Hemigrapsus,WACO21-645-c,WACO21-645,3,5,Samples,WACO.2021.645,Stackpole-Sep,0
18,BF3,1a9ec5599e84fd3d5965b8e087b44a319927e990,265,genus,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,NA,Hemigrapsus,WACO21-645-c,WACO21-645,3,5,Samples,WACO.2021.645,Stackpole-Sep,0
18,BF3,8fa7028c472b45b95822ef046435b20ded043e59,16,species,Metazoa,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,Hediste diadroma,Hediste diadroma,WACO21-645-c,WACO21-645,3,5,Samples,WACO.2021.645,Stackpole-Sep,0
18,BF3,703055a9be616fb4989b81e05cd5dc3b4942d087,233,genus,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,NA,Hemigrapsus,WACO21-645-c,WACO21-645,3,5,Samples,WACO.2021.645,Stackpole-Sep,0
18,BF3,8265e263c15e8f56935264d972702c71cd706b61,175,genus,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,NA,Hemigrapsus,WACO21-645-c,WACO21-645,3,5,Samples,WACO.2021.645,Stackpole-Sep,0
18,BF3,f5a6187dec0158fff4505da8b61fd76558fffe1f,46,family,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,NA,NA,Cucurbitaceae,WACO21-645-c,WACO21-645,3,5,Samples,WACO.2021.645,Stackpole-Sep,0
19,BF3,7542298ff77e2a821b8ef59f48bb3d4e03f356ee,10640,genus,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,NA,Hemigrapsus,WACO21-665-a,WACO21-665,1,5,Samples,WACO.2021.665,Stackpole-Sep,0
