MiSeqRun,Sample_name,sample_id,Hash,nReads
5,8,WACO21-503-b,81137ad7d09cacd815468d26f7e2c155abfbdeb2,48
5,8,WACO21-503-b,82062b9cd679061926bd12072c347ffc09be028c,535
5,8,WACO21-503-b,a4641c5c5237012cecb994fbe97a1deb3e320434,3096
5,8,WACO21-503-b,98ec7fd230e438cf5da2ba8467bdc7ceb95a8e2b,941
5,8,WACO21-503-b,1167f4c4381369d51d94db86e497609f02b5ffa1,2814
5,8,WACO21-503-b,2caad416c16993d4addb3a005eb255aff25e0261,951
5,8,WACO21-503-b,b02749136ff37f34b110cfc0aadf1abbb19ffce4,1173
5,8,WACO21-503-b,328e6baee23b9ab10d1b4af6e00a4a78fd64ec8c,15
5,8,WACO21-503-b,c0c5e52e340b5b261da67350d7cf6a998da9b4df,373
5,8,WACO21-503-b,4ebb3ac78c88ae37391356ab2c2f6bc4a3de5cf0,143
5,8,WACO21-503-b,94d7733c229a6928b1026efe72627a9b7a6a868d,500
5,8,WACO21-503-b,f7480017a3bcdb2b55e535639f3312586515a17b,1135
5,8,WACO21-503-b,86c239fc0f8ea6c487eb6dbec7a87320436b5089,586
5,8,WACO21-503-b,c63f0e8b748edc7c597c1f70786276145d016fcd,4584
5,8,WACO21-503-b,ebd75d373e7c94e4d716391124e17c7f0ff55e15,15
5,8,WACO21-503-b,f08c85dc673c329cb7edacbd7482329048ab651e,35
5,8,WACO21-503-b,9e88be0f109a8091c8c5170857a769b494400682,27
5,8,WACO21-503-b,bf85d96f50f17afded2a27dad794261b1e4ef205,167
5,8,WACO21-503-b,ccbe024e1044d0b7786d219ae11d57184d8e57bf,820
5,8,WACO21-503-b,171648f07c39119e01e765ca0d3928aef16a38ac,25
5,8,WACO21-503-b,926197df879d0fbf47c09f2b518b43dbdeb79190,95
5,8,WACO21-503-b,303a7a1ad22210dbecf74abe0620e53eb9d6e537,2511
5,8,WACO21-503-b,5d65faa4e1c63413f1640ce93a9e3bd079abdf92,7
5,8,WACO21-503-b,48a3a222241d04fb192562a7a327fa2dacd7ab70,412
5,8,WACO21-503-b,db61a941f572ccce68f069c6e2a43dbc54e5c030,20
5,8,WACO21-503-b,67d5d8842695ab90057b561c09595fd4ecd0c5f9,20
5,8,WACO21-503-b,d74bca9a8958f1080fe172a63e29b96f6cb99c44,450
5,8,WACO21-503-b,e0581e086bbe3a7125640f84221a918d42ccee0b,14
5,8,WACO21-503-b,b7ea94e70972878979d83f0fe4813fb72135bb3b,21
5,8,WACO21-503-b,07a58ecc0e2d061bbef0e1a8d6965520006416ac,9
5,8,WACO21-503-b,1f7f3155d8874b67620942a44674f227442369e2,21
5,8,WACO21-503-b,4e06016d49bf0013aa4ca7ed9241863898f720f2,87
5,8,WACO21-503-b,450e0ad7b44dae122dd5f5afc512d5c5f2e39208,4
5,8,WACO21-503-b,1b338ad6323a0425d847458b81c07bca8e690961,440
5,8,WACO21-503-b,1d5c42d725602cb020ec9a2c58d39e9c1cf9135c,10
5,8,WACO21-503-b,907cbfb519e22a68db2b49c77f1eb5f9fb898cba,110
5,8,WACO21-503-b,da90cbd0d293c9fa05fae74db67cc1f191979a71,4
5,8,WACO21-503-b,aa7ed4ddad0d922410da9c7ac2f94a055d25e49f,712
5,8,WACO21-503-b,f3d689409fe122564144880725ee364600c03487,330
5,8,WACO21-503-b,34f5d66d29f836d99bc7380e058b745e74244095,28
5,8,WACO21-503-b,add11f065b7ba6fdb691367f48cf7a6432d8a2c3,378
5,8,WACO21-503-b,8d772632abe58032c787095dd30e3571e47cc871,36
5,8,WACO21-503-b,d8960258c72ad8dabb03a3b924377a8171781b45,87
5,8,WACO21-503-b,08e0936c846cfb09b69084be411d7a539f5fb83b,45
5,8,WACO21-503-b,5f696c15b587cd2a24af58691661ef21daa977ab,171
5,8,WACO21-503-b,690e65c2e901749d77ef5330b9a677e5991bd85c,8
5,8,WACO21-503-b,f972a5506d9663e36c2aaac123fdd8e9ee727bfd,293
5,8,WACO21-503-b,6b6632187bf9b987bbf396b9aff3f3c93c9d6bfa,26
5,8,WACO21-503-b,0312052bb4f6c8b41c0fda23f1f2b60f7e643f6e,69
5,8,WACO21-503-b,27ceea24ec0f645aaf888bcf216597b174e77193,128
5,8,WACO21-503-b,571cc95fbd0ff5551f1ae4b66b28bb9cb00a1f84,76
5,8,WACO21-503-b,8ed62c12f40e61b132623ac550905c2b098b79b6,419
5,8,WACO21-503-b,ad363b3aff6d8180208ae48cbed7817992dd5603,97
5,8,WACO21-503-b,c366cff57a7872e6c4caa1c0ae083d347be7c5a7,397
5,8,WACO21-503-b,205aa5a879a1f6d1e01479fa47c802c7380649b9,109
5,8,WACO21-503-b,7029ae70d6da49d533ec2e9c6236a516c578e238,65
5,8,WACO21-503-b,c5936532c633648578fab29a1b9b471c6da7137e,104
5,8,WACO21-503-b,8c715295c9fb89aba7e8e66f2b8a5de60440354b,215
5,8,WACO21-503-b,8bd5f7791d110db6aa9b29791901acfba11fd822,41
5,8,WACO21-503-b,81cbf5739e5cbd2465d65959413a762278c57e47,199
5,8,WACO21-503-b,055665ddcb223945fbb8cdf81e8ae8447854867f,100
5,8,WACO21-503-b,519d0d9aafab8df81a0f2e774480264a7ff07221,10
5,8,WACO21-503-b,d9328a963fbf813ea9702fef6d24e9b4cca9d2cb,6
5,8,WACO21-503-b,62e7612412365a879303ddf0c90dc903c7353334,29
5,8,WACO21-503-b,c07cbb36a6f1d682795dd931a6f257c27cd7a649,54
5,8,WACO21-503-b,08af3190e1e54ac6fa1d4685f8510d3422015ea9,90
5,8,WACO21-503-b,788c6958ac4239de6ef9e18fa8f253f5977291d1,82
5,8,WACO21-503-b,aa48de8a70e8720307468e9ffc06989bad1e882b,26
