sample,MiSeqRun,PCR1cycles,PCR2cycles,PCRcycles
WACO21-281-a,2,35,5,40
WACO21-281-c,2,35,5,40
WACO21-283-a,2,35,5,40
WACO21-283-b,2,35,5,40
WACO21-283-c,2,35,5,40
WACO21-284-a,2,35,5,40
WACO21-284-b,2,35,5,40
WACO21-284-c,2,35,5,40
WACO21-499-a,2,35,5,40
WACO21-499-b,2,35,5,40
WACO21-499-c,2,35,5,40
WACO21-097-a,2,35,5,40
WACO21-097-b,2,35,5,40
WACO21-097-c,2,35,5,40
WACO21-340-a,2,35,5,40
WACO21-340-b,2,35,5,40
WACO21-340-c,2,35,5,40
WACO21-493-a,2,35,5,40
WACO21-493-b,2,35,5,40
WACO21-493-c,2,35,5,40
WACO21-281-e,2,35,5,40
WACO21-343-a,2,35,5,40
WACO21-343-b,2,35,5,40
WACO21-343-c,2,35,5,40
WACO21-148-a,2,35,5,40
WACO21-148-b,2,35,5,40
WACO21-148-c,2,35,5,40
WACO21-500-a,2,35,5,40
WACO21-500-b,2,35,5,40
WACO21-500-c,2,35,5,40
WACO21-285-a,2,35,8,43
WACO21-285-b,2,35,8,43
WACO21-285-c,2,35,8,43
WACO21-497-a,2,35,8,43
WACO21-497-b,2,35,8,43
WACO21-497-c,2,35,8,43
WACO21-498-a,2,35,8,43
WACO21-498-b,2,35,8,43
WACO21-498-c,2,35,8,43
WACO21-106-a,2,35,8,43
WACO21-106-b,2,35,8,43
WACO21-106-c,2,35,8,43
WACO21-339-a,2,35,8,43
WACO21-339-b,2,35,8,43
WACO21-339-c,2,35,8,43
WACO21-342-a,2,35,8,43
WACO21-342-b,2,35,8,43
WACO21-342-c,2,35,8,43
WACO21-348-a,2,35,8,43
WACO21-348-b,2,35,8,43
WACO21-348-c,2,35,8,43
WACO21-127-a,2,35,8,43
WACO21-127-b,2,35,8,43
WACO21-127-c,2,35,8,43
WACO21-145-a,2,35,8,43
WACO21-145-b,2,35,8,43
WACO21-145-c,2,35,8,43
WACO21-491-a,2,35,8,43
WACO21-491-b,2,35,8,43
WACO21-491-c,2,35,8,43
WACO21-288-a,2,35,12,47
WACO21-288-b,2,35,12,47
WACO21-496-a,2,35,12,47
WACO21-496-b,2,35,12,47
WACO21-501-a,2,35,12,47
WACO21-501-b,2,35,12,47
WACO21-501-c,2,35,12,47
WACO21-350-a,2,35,12,47
WACO21-350-b,2,35,12,47
WACO21-350-c,2,35,12,47
WACO21-494-a,2,35,12,47
WACO21-494-b,2,35,12,47
WACO21-494-c,2,35,12,47
WACO21-496-d,2,35,12,47
WACO21-286-a,2,35,12,47
WACO21-286-b,2,35,12,47
WACO21-286-c,2,35,12,47
WACO21-288-d,2,35,12,47
WACO21-347-a,2,35,12,47
WACO21-347-b,2,35,12,47
WACO21-347-c,2,35,12,47
WACO21-135-a,2,35,12,47
WACO21-135-b,2,35,12,47
WACO21-135-c,2,35,12,47
WACO21-139-a,2,35,12,47
WACO21-139-b,2,35,12,47
WACO21-139-c,2,35,12,47
WACO21-143-a,2,35,12,47
WACO21-143-b,2,35,12,47
WACO21-143-c,2,35,12,47
WACO21-102-a,3,35,5,40
WACO21-102-b,3,35,5,40
WACO21-102-c,3,35,5,40
WACO21-601-a,3,35,5,40
WACO21-601-b,3,35,5,40
