EGC_ID,Sample_label,CollectionDate,Water Body,Site_Name,CW_mm,Sex
WACO.2021.086,WACO21-086,5/19/2021,Willapa,Stackpole,55,Female
WACO.2021.097,WACO21-097,5/26/2021,Willapa,Oysterville,77,Male
WACO.2021.098,WACO21-098,5/26/2021,Willapa,Oysterville,91,Male
WACO.2021.099,WACO21-099,5/26/2021,Willapa,Oysterville,91,Male
WACO.2021.100,WACO21-100,5/26/2021,Willapa,Oysterville,50,Female
WACO.2021.101,WACO21-101,5/26/2021,Willapa,Oysterville,85,Male
WACO.2021.102,WACO21-102,5/26/2021,Willapa,Oysterville,88,Male
WACO.2021.103,WACO21-103,5/26/2021,Willapa,Oysterville,45,Male
WACO.2021.104,WACO21-104,5/26/2021,Willapa,Oysterville,83,Male
WACO.2021.105,WACO21-105,5/26/2021,Willapa,Oysterville,87,Male
WACO.2021.106,WACO21-106,5/26/2021,Willapa,Oysterville,87,Male
WACO.2021.107,WACO21-107,5/26/2021,Willapa,Oysterville,76,Male
WACO.2021.108,WACO21-108,5/26/2021,Willapa,Oysterville,87.5,Male
WACO.2021.109,WACO21-109,5/26/2021,Willapa,Oysterville,53,Female
WACO.2021.110,WACO21-110,5/26/2021,Willapa,Oysterville,57,Female
WACO.2021.111,WACO21-111,5/26/2021,Willapa,Oysterville,49,Male
WACO.2021.112,WACO21-112,5/26/2021,Willapa,Oysterville,64,Female
WACO.2021.113,WACO21-113,5/26/2021,Willapa,Oysterville,54,Female
WACO.2021.114,WACO21-114,5/26/2021,Willapa,Oysterville,56,Female
WACO.2021.115,WACO21-115,5/26/2021,Willapa,Oysterville,49,Male
WACO.2021.116,WACO21-116,5/26/2021,Willapa,Oysterville,48,Male
WACO.2021.117,WACO21-117,5/26/2021,Willapa,Oysterville,45,Female
WACO.2021.118,WACO21-118,5/26/2021,Willapa,Long Beach,59,Male
WACO.2021.119,WACO21-119,5/26/2021,Willapa,Long Beach,51,Male
WACO.2021.120,WACO21-120,5/26/2021,Willapa,Long Beach,56,Male
WACO.2021.121,WACO21-121,5/26/2021,Willapa,Long Beach,51,Female
WACO.2021.122,WACO21-122,5/26/2021,Willapa,Long Beach,48,Male
WACO.2021.123,WACO21-123,5/26/2021,Willapa,Long Beach,42.5,Female
WACO.2021.124,WACO21-124,5/26/2021,Willapa,Long Beach,50,Male
WACO.2021.125,WACO21-125,5/26/2021,Willapa,Long Beach,54,Male
WACO.2021.126,WACO21-126,5/26/2021,Willapa,Long Beach,85,Male
WACO.2021.127,WACO21-127,5/26/2021,Willapa,Long Beach,78,Male
WACO.2021.128,WACO21-128,5/26/2021,Willapa,Long Beach,65,Male
WACO.2021.129,WACO21-129,5/26/2021,Willapa,Long Beach,60,Female
WACO.2021.130,WACO21-130,5/26/2021,Willapa,Long Beach,50.5,Male
WACO.2021.131,WACO21-131,5/26/2021,Willapa,Long Beach,54,Female
WACO.2021.132,WACO21-132,5/26/2021,Willapa,Long Beach,52,Female
WACO.2021.133,WACO21-133,5/26/2021,Willapa,Long Beach,56,Male
WACO.2021.134,WACO21-134,5/26/2021,Willapa,Long Beach,77,Male
WACO.2021.135,WACO21-135,5/26/2021,Willapa,Long Beach,73,Male
WACO.2021.136,WACO21-136,5/26/2021,Willapa,Long Beach,56,Male
WACO.2021.137,WACO21-137,5/26/2021,Willapa,Long Beach,79,Male
WACO.2021.138,WACO21-138,5/26/2021,Willapa,Long Beach,51,Male
WACO.2021.139,WACO21-139,5/26/2021,Willapa,Long Beach,81,Male
WACO.2021.140,WACO21-140,5/26/2021,Willapa,Long Beach,74,Male
WACO.2021.141,WACO21-141,5/26/2021,Willapa,Long Beach,58,Male
WACO.2021.142,WACO21-142,5/26/2021,Willapa,Long Beach,51,Female
WACO.2021.143,WACO21-143,5/26/2021,Willapa,Long Beach,75,Male
WACO.2021.144,WACO21-144,5/26/2021,Willapa,Long Beach,50,Female
WACO.2021.145,WACO21-145,5/26/2021,Willapa,Long Beach,62,Male
WACO.2021.146,WACO21-146,5/26/2021,Willapa,Long Beach,59,Male
WACO.2021.147,WACO21-147,5/26/2021,Willapa,Long Beach,55,Male
WACO.2021.148,WACO21-148,5/26/2021,Willapa,Long Beach,62,Male
WACO.2021.214,WACO21-214,7/8/2021,Willapa,Stackpole,50,Male
WACO.2021.215,WACO21-215,7/8/2021,Willapa,Stackpole,33,Male
WACO.2021.216,WACO21-216,7/8/2021,Willapa,Stackpole,50,Female
WACO.2021.217,WACO21-217,7/8/2021,Willapa,Stackpole,58,Male
WACO.2021.218,WACO21-218,7/8/2021,Willapa,Stackpole,54,Male
WACO.2021.219,WACO21-219,7/8/2021,Willapa,Stackpole,74,Male
WACO.2021.220,WACO21-220,7/8/2021,Willapa,Stackpole,63,Male
WACO.2021.221,WACO21-221,7/8/2021,Willapa,Stackpole,45,Female
WACO.2021.222,WACO21-222,7/8/2021,Willapa,Stackpole,37,Female
WACO.2021.223,WACO21-223,7/8/2021,Willapa,Stackpole,32,Male
WACO.2021.224,WACO21-224,7/8/2021,Willapa,Stackpole,47,Male
WACO.2021.225,WACO21-225,7/8/2021,Willapa,Stackpole,62,Male
WACO.2021.226,WACO21-226,7/8/2021,Willapa,Stackpole,63,Male
WACO.2021.227,WACO21-227,7/8/2021,Willapa,Stackpole,55,Male
WACO.2021.228,WACO21-228,7/8/2021,Willapa,Stackpole,36,Female
WACO.2021.229,WACO21-229,7/8/2021,Willapa,Stackpole,50,Male
WACO.2021.230,WACO21-230,7/8/2021,Willapa,Stackpole,50,Male
WACO.2021.231,WACO21-231,7/8/2021,Willapa,Stackpole,54,Male
WACO.2021.232,WACO21-232,7/8/2021,Willapa,Stackpole,46,Male
WACO.2021.233,WACO21-233,7/8/2021,Willapa,Stackpole,29,Male
WACO.2021.234,WACO21-234,7/8/2021,Willapa,Stackpole,61,Male
WACO.2021.235,WACO21-235,7/8/2021,Willapa,Stackpole,49,Male
WACO.2021.236,WACO21-236,7/8/2021,Willapa,Stackpole,47,Female
WACO.2021.237,WACO21-237,7/8/2021,Willapa,Stackpole,45,Female
WACO.2021.238,WACO21-238,7/8/2021,Willapa,Stackpole,64,Male
WACO.2021.239,WACO21-239,7/8/2021,Willapa,Stackpole,58,Male
WACO.2021.240,WACO21-240,7/8/2021,Willapa,Stackpole,59,Male
WACO.2021.241,WACO21-241,7/8/2021,Willapa,Stackpole,52,Male
WACO.2021.242,WACO21-242,7/8/2021,Willapa,Stackpole,43,Male
WACO.2021.243,WACO21-243,7/8/2021,Willapa,Stackpole,50,Male
WACO.2021.244,WACO21-244,7/8/2021,Willapa,Stackpole,43,Male
WACO.2021.245,WACO21-245,7/8/2021,Willapa,Stackpole,46,Male
WACO.2021.246,WACO21-246,7/8/2021,Willapa,Stackpole,35,Female
WACO.2021.247,WACO21-247,7/8/2021,Willapa,Stackpole,74,Male
WACO.2021.248,WACO21-248,7/8/2021,Willapa,Stackpole,48,Female
WACO.2021.249,WACO21-249,7/8/2021,Willapa,Stackpole,36,Female
WACO.2021.250,WACO21-250,7/8/2021,Willapa,Stackpole,69,Male
WACO.2021.251,WACO21-251,7/8/2021,Willapa,Stackpole,36,Female
WACO.2021.252,WACO21-252,7/8/2021,Willapa,Stackpole,45,Female
