Sample_name,Sample_label,sample,tech,Run,source,EGC_ID,site_month
4,WACO21-102-a,WACO21-102,1,3,Samples,WACO.2021.102,Oysterville-May
5,WACO21-102-b,WACO21-102,2,3,Samples,WACO.2021.102,Oysterville-May
6,WACO21-102-c,WACO21-102,3,3,Samples,WACO.2021.102,Oysterville-May
7,WACO21-134-a,WACO21-134,1,3,Samples,WACO.2021.134,Long Beach-May
8,WACO21-134-b,WACO21-134,2,3,Samples,WACO.2021.134,Long Beach-May
9,WACO21-134-c,WACO21-134,3,3,Samples,WACO.2021.134,Long Beach-May
10,WACO21-601-a,WACO21-601,1,3,Samples,WACO.2021.601,Oysterville-Sep
11,WACO21-601-b,WACO21-601,2,3,Samples,WACO.2021.601,Oysterville-Sep
12,WACO21-601-c,WACO21-601,3,3,Samples,WACO.2021.601,Oysterville-Sep
13,WACO21-603-a,WACO21-603,1,3,Samples,WACO.2021.603,Oysterville-Sep
14,WACO21-603-b,WACO21-603,2,3,Samples,WACO.2021.603,Oysterville-Sep
15,WACO21-603-c,WACO21-603,3,3,Samples,WACO.2021.603,Oysterville-Sep
16,WACO21-604-a,WACO21-604,1,3,Samples,WACO.2021.604,Oysterville-Sep
17,WACO21-604-b,WACO21-604,2,3,Samples,WACO.2021.604,Oysterville-Sep
18,WACO21-604-c,WACO21-604,3,3,Samples,WACO.2021.604,Oysterville-Sep
19,WACO21-610-a,WACO21-610,1,3,Samples,WACO.2021.610,Oysterville-Sep
20,WACO21-610-b,WACO21-610,2,3,Samples,WACO.2021.610,Oysterville-Sep
21,WACO21-610-c,WACO21-610,3,3,Samples,WACO.2021.610,Oysterville-Sep
28,WACO21-099-a,WACO21-099,1,3,Samples,WACO.2021.099,Oysterville-May
29,WACO21-099-b,WACO21-099,2,3,Samples,WACO.2021.099,Oysterville-May
30,WACO21-099-c,WACO21-099,3,3,Samples,WACO.2021.099,Oysterville-May
31,WACO21-114-a,WACO21-114,1,3,Samples,WACO.2021.114,Oysterville-May
32,WACO21-114-b,WACO21-114,2,3,Samples,WACO.2021.114,Oysterville-May
33,WACO21-114-c,WACO21-114,3,3,Samples,WACO.2021.114,Oysterville-May
34,WACO21-126-a,WACO21-126,1,3,Samples,WACO.2021.126,Long Beach-May
35,WACO21-126-b,WACO21-126,2,3,Samples,WACO.2021.126,Long Beach-May
36,WACO21-126-c,WACO21-126,3,3,Samples,WACO.2021.126,Long Beach-May
37,WACO21-146-a,WACO21-146,1,3,Samples,WACO.2021.146,Long Beach-May
38,WACO21-146-b,WACO21-146,2,3,Samples,WACO.2021.146,Long Beach-May
39,WACO21-146-c,WACO21-146,3,3,Samples,WACO.2021.146,Long Beach-May
41,WACO21-106-a,WACO21-106,1,3,Samples,WACO.2021.106,Oysterville-May
42,WACO21-106-b,WACO21-106,2,3,Samples,WACO.2021.106,Oysterville-May
