"","Sample_name","Sample_label","sample","tech","Run","source","EGC_ID","site_month"
"1","1","WACO21-639-a","WACO21-639",1,4,"Samples","WACO.2021.639","Stackpole-Sep"
"2","2","WACO21-639-b","WACO21-639",2,4,"Samples","WACO.2021.639","Stackpole-Sep"
"3","3","WACO21-639-c","WACO21-639",3,4,"Samples","WACO.2021.639","Stackpole-Sep"
"4","4","WACO21-102-a","WACO21-102",1,4,"Samples","WACO.2021.102","Oysterville-May"
"5","5","WACO21-102-b","WACO21-102",2,4,"Samples","WACO.2021.102","Oysterville-May"
"6","6","WACO21-102-c","WACO21-102",3,4,"Samples","WACO.2021.102","Oysterville-May"
"7","7","WACO21-108-a","WACO21-108",1,4,"Samples","WACO.2021.108","Oysterville-May"
"8","8","WACO21-108-c","WACO21-108",3,4,"Samples","WACO.2021.108","Oysterville-May"
"9","9","WACO21-134-c","WACO21-134",3,4,"Samples","WACO.2021.134","Long Beach-May"
"10","10","WACO21-565-a","WACO21-565",1,4,"Samples","WACO.2021.565","Nahcotta-Sep"
"11","11","WACO21-565-b","WACO21-565",2,4,"Samples","WACO.2021.565","Nahcotta-Sep"
"12","12","WACO21-565-c","WACO21-565",3,4,"Samples","WACO.2021.565","Nahcotta-Sep"
"13","16","WACO21-604-a","WACO21-604",1,4,"Samples","WACO.2021.604","Oysterville-Sep"
"14","17","WACO21-604-b","WACO21-604",2,4,"Samples","WACO.2021.604","Oysterville-Sep"
"15","18","WACO21-604-c","WACO21-604",3,4,"Samples","WACO.2021.604","Oysterville-Sep"
"16","19","WACO21-610-a","WACO21-610",1,4,"Samples","WACO.2021.610","Oysterville-Sep"
"17","20","WACO21-610-b","WACO21-610",2,4,"Samples","WACO.2021.610","Oysterville-Sep"
"18","21","WACO21-610-c","WACO21-610",3,4,"Samples","WACO.2021.610","Oysterville-Sep"
"19","22","WACO21-240-a","WACO21-240",1,4,"Samples","WACO.2021.240","Stackpole-Jul"
"20","23","WACO21-240-b","WACO21-240",2,4,"Samples","WACO.2021.240","Stackpole-Jul"
"21","24","WACO21-240-c","WACO21-240",3,4,"Samples","WACO.2021.240","Stackpole-Jul"
"22","25","WACO21-321-a","WACO21-321",1,4,"Samples","WACO.2021.321","Nahcotta-Jul"
"23","26","WACO21-321-b","WACO21-321",2,4,"Samples","WACO.2021.321","Nahcotta-Jul"
"24","27","WACO21-321-c","WACO21-321",3,4,"Samples","WACO.2021.321","Nahcotta-Jul"
"25","41","WACO21-512-a","WACO21-512",1,4,"Samples","WACO.2021.512","Nahcotta-Sep"
"26","42","WACO21-106-b","WACO21-106",2,4,"Samples","WACO.2021.106","Oysterville-May"
"27","43","WACO21-512-c","WACO21-512",3,4,"Samples","WACO.2021.512","Nahcotta-Sep"
"28","47","WACO21-101-a","WACO21-101",1,4,"Samples","WACO.2021.101","Oysterville-May"
"29","48","WACO21-101-b","WACO21-101",2,4,"Samples","WACO.2021.101","Oysterville-May"
"30","49","WACO21-101-c","WACO21-101",3,4,"Samples","WACO.2021.101","Oysterville-May"
"31","50","WACO21-104-a","WACO21-104",1,4,"Samples","WACO.2021.104","Oysterville-May"
"32","51","WACO21-104-b","WACO21-104",2,4,"Samples","WACO.2021.104","Oysterville-May"
"33","52","WACO21-104-c","WACO21-104",3,4,"Samples","WACO.2021.104","Oysterville-May"
"34","55","WACO21-134-a","WACO21-134",1,4,"Samples","WACO.2021.134","Long Beach-May"
"35","56","WACO21-134-b","WACO21-134",2,4,"Samples","WACO.2021.134","Long Beach-May"
"36","57","WACO21-108-b","WACO21-108",2,4,"Samples","WACO.2021.108","Oysterville-May"
