sample_name,sample_label,sample,tech,run,source,egc_id,site_month
1,WACO21-281-a,WACO21-281,1,2,Samples,WACO.2021.281,Oysterville-Jul
2,WACO21-281-c,WACO21-281,3,2,Samples,WACO.2021.281,Oysterville-Jul
3,WACO21-281-e,WACO21-281,5,2,Samples,WACO.2021.281,Oysterville-Jul
4,WACO21-283-a,WACO21-283,1,2,Samples,WACO.2021.283,Oysterville-Jul
5,WACO21-283-b,WACO21-283,2,2,Samples,WACO.2021.283,Oysterville-Jul
6,WACO21-283-c,WACO21-283,3,2,Samples,WACO.2021.283,Oysterville-Jul
7,WACO21-284-a,WACO21-284,1,2,Samples,WACO.2021.284,Oysterville-Jul
8,WACO21-284-b,WACO21-284,2,2,Samples,WACO.2021.284,Oysterville-Jul
9,WACO21-284-c,WACO21-284,3,2,Samples,WACO.2021.284,Oysterville-Jul
10,WACO21-285-a,WACO21-285,1,2,Samples,WACO.2021.285,Oysterville-Jul
11,WACO21-285-b,WACO21-285,2,2,Samples,WACO.2021.285,Oysterville-Jul
12,WACO21-285-c,WACO21-285,3,2,Samples,WACO.2021.285,Oysterville-Jul
13,WACO21-106-a,WACO21-106,1,2,Samples,WACO.2021.106,Oysterville-May
14,WACO21-106-b,WACO21-106,2,2,Samples,WACO.2021.106,Oysterville-May
15,WACO21-106-c,WACO21-106,3,2,Samples,WACO.2021.106,Oysterville-May
16,WACO21-288-a,WACO21-288,1,2,Samples,WACO.2021.288,Oysterville-Jul
17,WACO21-499-a,WACO21-499,1,2,Samples,WACO.2021.499,Long Beach-Sep
18,WACO21-499-b,WACO21-499,2,2,Samples,WACO.2021.499,Long Beach-Sep
19,WACO21-499-c,WACO21-499,3,2,Samples,WACO.2021.499,Long Beach-Sep
20,WACO21-493-a,WACO21-493,1,2,Samples,WACO.2021.493,Long Beach-Sep
21,WACO21-493-b,WACO21-493,2,2,Samples,WACO.2021.493,Long Beach-Sep
22,WACO21-493-c,WACO21-493,3,2,Samples,WACO.2021.493,Long Beach-Sep
23,WACO21-500-a,WACO21-500,1,2,Samples,WACO.2021.500,Long Beach-Sep
24,WACO21-500-b,WACO21-500,2,2,Samples,WACO.2021.500,Long Beach-Sep
25,WACO21-500-c,WACO21-500,3,2,Samples,WACO.2021.500,Long Beach-Sep
26,WACO21-497-a,WACO21-497,1,2,Samples,WACO.2021.497,Long Beach-Sep
27,WACO21-497-b,WACO21-497,2,2,Samples,WACO.2021.497,Long Beach-Sep
28,WACO21-497-c,WACO21-497,3,2,Samples,WACO.2021.497,Long Beach-Sep
29,WACO21-498-a,WACO21-498,1,2,Samples,WACO.2021.498,Long Beach-Sep
30,WACO21-498-b,WACO21-498,2,2,Samples,WACO.2021.498,Long Beach-Sep
31,WACO21-498-c,WACO21-498,3,2,Samples,WACO.2021.498,Long Beach-Sep
32,WACO21-491-a,WACO21-491,1,2,Samples,WACO.2021.491,Long Beach-Sep
33,WACO21-097-a,WACO21-097,1,2,Samples,WACO.2021.097,Oysterville-May
34,WACO21-097-b,WACO21-097,2,2,Samples,WACO.2021.097,Oysterville-May
35,WACO21-097-c,WACO21-097,3,2,Samples,WACO.2021.097,Oysterville-May
36,WACO21-288-b,WACO21-288,2,2,Samples,WACO.2021.288,Oysterville-Jul
37,WACO21-288-d,WACO21-288,4,2,Samples,WACO.2021.288,Oysterville-Jul
38,WACO21-286-a,WACO21-286,1,2,Samples,WACO.2021.286,Oysterville-Jul
39,WACO21-286-b,WACO21-286,2,2,Samples,WACO.2021.286,Oysterville-Jul
40,WACO21-286-c,WACO21-286,3,2,Samples,WACO.2021.286,Oysterville-Jul
41,WACO21-340-a,WACO21-340,1,2,Samples,WACO.2021.340,Long Beach-Jul
42,WACO21-340-b,WACO21-340,2,2,Samples,WACO.2021.340,Long Beach-Jul
43,WACO21-340-c,WACO21-340,3,2,Samples,WACO.2021.340,Long Beach-Jul
44,WACO21-343-a,WACO21-343,1,2,Samples,WACO.2021.343,Long Beach-Jul
45,WACO21-343-b,WACO21-343,2,2,Samples,WACO.2021.343,Long Beach-Jul
46,WACO21-343-c,WACO21-343,3,2,Samples,WACO.2021.343,Long Beach-Jul
47,WACO21-339-a,WACO21-339,1,2,Samples,WACO.2021.339,Long Beach-Jul
48,WACO21-339-b,WACO21-339,2,2,Samples,WACO.2021.339,Long Beach-Jul
