sample,Sample_name,Locus,tech,Hash,nReads,rank,kingdom,phylum,class,order,family,genus,species,taxon,MiSeqRun
MC_B,97,BF3,1,5cc5bda34a61687ff23dd35422f3f67055889af9,6046,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_B,97,BF3,1,fd21a4a69e41031e050b80c96a578a2b0e1575ad,6371,species,Metazoa,Chordata,Actinopteri,NA,Embiotocidae,Cymatogaster,Cymatogaster aggregata,Cymatogaster aggregata,3
MC_B,97,BF3,1,41384eb53ebdac9ad36e75109961bdacfada2509,4342,species,Metazoa,Mollusca,Gastropoda,NA,Batillariidae,Batillaria,Batillaria attramentaria,Batillaria attramentaria,3
MC_B,97,BF3,1,35bcbb88b7a1827e9131054759e25603a6ef1e4b,3621,genus,Metazoa,Mollusca,Bivalvia,Myida,Myidae,Mya,NA,Mya,3
MC_B,97,BF3,1,fdc80ae5c5d103b2e88889628d1e88288fe07089,2297,species,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus,Leptocottus armatus,3
MC_B,97,BF3,1,7e7ae42efc9e7b56783c47f09c146656a8e3d3fc,1664,genus,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,NA,Cottus,3
MC_B,97,BF3,1,5912de453e37344840868fe7776e6f84659742f2,1596,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,Hemigrapsus oregonensis,Hemigrapsus oregonensis,3
MC_B,97,BF3,1,85ae8b995a1c9e5d9f4b6e265538078035f220d2,327,species,Metazoa,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,Ruditapes philippinarum,Ruditapes philippinarum,3
MC_B,97,BF3,1,aee053d6803cdb5a8171495d7b79efae9b68c8f7,147,species,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Zosteraceae,NA,NA,Zosteraceae,3
MC_B,97,BF3,1,f9bec8a1cda505aef0a4a5a162274b00b387872d,89,genus,Metazoa,Mollusca,Bivalvia,Myida,Myidae,Mya,NA,Mya,3
MC_B,97,BF3,1,4fbc29db0ec34b07a492602fa5bc926278f03216,113,species,Metazoa,Mollusca,Gastropoda,NA,Batillariidae,Batillaria,Batillaria attramentaria,Batillaria attramentaria,3
MC_B,97,BF3,1,11bc5b4f80a0f346a1cc03a86a26dd4313bff62a,18,species,Metazoa,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,Ruditapes philippinarum,Ruditapes philippinarum,3
MC_B,97,BF3,1,1213612785627a26f9995b9f29b2f7daf628ab3a,19,genus,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,NA,Crangon,3
MC_B,97,BF3,1,921a619530265c77845aff59fa0e09fb1ca270cb,6,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_B,97,BF3,1,4f61e33a32c46d7f81d526f66acfe3e088d196a6,2,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_B,98,BF3,2,5cc5bda34a61687ff23dd35422f3f67055889af9,10264,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_B,98,BF3,2,fd21a4a69e41031e050b80c96a578a2b0e1575ad,10460,species,Metazoa,Chordata,Actinopteri,NA,Embiotocidae,Cymatogaster,Cymatogaster aggregata,Cymatogaster aggregata,3
MC_B,98,BF3,2,41384eb53ebdac9ad36e75109961bdacfada2509,6959,species,Metazoa,Mollusca,Gastropoda,NA,Batillariidae,Batillaria,Batillaria attramentaria,Batillaria attramentaria,3
MC_B,98,BF3,2,35bcbb88b7a1827e9131054759e25603a6ef1e4b,6420,genus,Metazoa,Mollusca,Bivalvia,Myida,Myidae,Mya,NA,Mya,3
MC_B,98,BF3,2,fdc80ae5c5d103b2e88889628d1e88288fe07089,3630,species,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus,Leptocottus armatus,3
MC_B,98,BF3,2,7e7ae42efc9e7b56783c47f09c146656a8e3d3fc,2857,genus,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,NA,Cottus,3
MC_B,98,BF3,2,5912de453e37344840868fe7776e6f84659742f2,2921,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,Hemigrapsus oregonensis,Hemigrapsus oregonensis,3
MC_B,98,BF3,2,be852773dcb909015503058be361a92ce69848bd,233,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_B,98,BF3,2,85ae8b995a1c9e5d9f4b6e265538078035f220d2,438,species,Metazoa,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,Ruditapes philippinarum,Ruditapes philippinarum,3
MC_B,98,BF3,2,aee053d6803cdb5a8171495d7b79efae9b68c8f7,229,species,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Zosteraceae,NA,NA,Zosteraceae,3
