phylum,class,order,family,genus,n.crab,level
Annelida,Clitellata,Tubificida,Naididae,Chaetogaster,1,genus
Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,2,genus
Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,5,genus
Annelida,Polychaeta,Phyllodocida,Nereididae,Micronereis,1,genus
Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,1,genus
Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,2,genus
Annelida,Polychaeta,Sabellida,Serpulidae,Serpula,1,genus
Annelida,Polychaeta,Spionida,Spionidae,Polydora,1,genus
Annelida,Polychaeta,Spionida,Spionidae,Pseudopolydora,3,genus
Annelida,Polychaeta,NA,Maldanidae,Nicomache,1,genus
Arthropoda,Arachnida,NA,NA,NA,2,genus
Arthropoda,Insecta,Diptera,Cecidomyiidae,NA,1,genus
Arthropoda,Insecta,Diptera,Ceratopogonidae,NA,1,genus
Arthropoda,Insecta,Diptera,Chironomidae,Clunio,1,genus
Arthropoda,Insecta,Diptera,Culicidae,Culex,1,genus
Arthropoda,Insecta,Hemiptera,Belostomatidae,NA,1,genus
Arthropoda,Insecta,Lepidoptera,Elachistidae,Elachista,1,genus
Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllus,1,genus
Arthropoda,Insecta,Psocoptera,Liposcelididae,Liposcelis,1,genus
Arthropoda,Insecta,Trichoptera,Hydropsychidae,Cheumatopsyche,1,genus
Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,6,genus
Arthropoda,Malacostraca,Amphipoda,Anisogammaridae,Eogammarus,1,genus
Arthropoda,Malacostraca,Amphipoda,Corophiidae,Grandidierella,7,genus
Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium,4,genus
Arthropoda,Malacostraca,Amphipoda,Photidae,Photis,1,genus
Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,3,genus
Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,12,genus
Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,14,genus
Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,5,genus
Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,7,genus
Chordata,Actinopteri,Perciformes,Pholidae,Pholis,1,genus
Chordata,Actinopteri,NA,Embiotocidae,Cymatogaster,2,genus
Chordata,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,1,genus
Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,2,genus
Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botryllus,2,genus
Cnidaria,Anthozoa,Actiniaria,Edwardsiidae,Nematostella,1,genus
Mollusca,Bivalvia,Galeommatida,Montacutidae,Kurtiella,1,genus
Mollusca,Bivalvia,Myida,Myidae,Mya,7,genus
Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,1,genus
Mollusca,Gastropoda,NA,Batillariidae,Batillaria,4,genus
Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Neoporphyra,8,genus
Streptophyta,Magnoliopsida,Alismatales,Zosteraceae,NA,6,genus
Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,NA,2,genus
Streptophyta,Magnoliopsida,Poales,Poaceae,NA,1,genus
NA,Phaeophyceae,Ectocarpales,Acinetosporaceae,Pylaiella,2,genus
NA,Phaeophyceae,Ectocarpales,Chordariaceae,Leathesia,3,genus
NA,Phaeophyceae,Ectocarpales,Chordariaceae,NA,7,genus
NA,Phaeophyceae,Ectocarpales,Ectocarpaceae,Ectocarpus,4,genus
NA,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Petalonia,4,genus
NA,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Scytosiphon,8,genus
NA,Phaeophyceae,Fucales,Fucaceae,Fucus,6,genus
