taxon,rank,phylum,class,order,family,genus,species,n_crab,miseqruns,site_months
Alitta,genus,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,NA,2,2,"Oysterville-Jul,Oysterville-May"
Ampithoe valida,species,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,Ampithoe valida,6,"2,3,5,4","Oysterville-Jul,Long Beach-Jul,Oysterville-May,Stackpole-Sep,Stackpole-Jul"
Arachnida,class,Arthropoda,Arachnida,NA,NA,NA,NA,2,"3,4","Oysterville-May,Long Beach-May"
Batillaria attramentaria,species,Mollusca,Gastropoda,NA,Batillariidae,Batillaria,Batillaria attramentaria,4,"2,3,4","Oysterville-Jul,Oysterville-Sep"
Belostomatidae,family,Arthropoda,Insecta,Hemiptera,Belostomatidae,NA,NA,1,5,Stackpole-Sep
Botrylloides violaceus,species,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,Botrylloides violaceus,2,"5,4",Stackpole-Sep
Botryllus schlosseri,species,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botryllus,Botryllus schlosseri,2,4,"Oysterville-Sep,Oysterville-May"
Cecidomyiidae,family,Arthropoda,Insecta,Diptera,Cecidomyiidae,NA,NA,1,4,Oysterville-Sep
Ceratopogonidae,family,Arthropoda,Insecta,Diptera,Ceratopogonidae,NA,NA,1,"3,4",Oysterville-May
Chaetogaster diastrophus,species,Annelida,Clitellata,Tubificida,Naididae,Chaetogaster,Chaetogaster diastrophus,1,3,Oysterville-May
Cheumatopsyche lepida,species,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Cheumatopsyche,Cheumatopsyche lepida,1,2,Oysterville-Jul
Chordariaceae,family,NA,Phaeophyceae,Ectocarpales,Chordariaceae,NA,NA,7,"3,2,5,4","Oysterville-May,Oysterville-Jul,Long Beach-May,Stackpole-Jul,Oysterville-Sep"
Clunio tsushimensis,species,Arthropoda,Insecta,Diptera,Chironomidae,Clunio,Clunio tsushimensis,1,2,Long Beach-Sep
