taxon,rank,phylum,class,order,family,genus,species,type,n_crab,miseqruns,site_months
Acanthocyclops vernalis,species,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops vernalis,Sample,1,"3,4",Oysterville-Sep
Alitta,genus,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,NA,Sample,2,2,"Oysterville-Jul,Oysterville-May"
Ampithoe valida,species,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,Ampithoe valida,Sample,6,"2,3,5,4","Oysterville-Jul,Long Beach-Jul,Oysterville-May,Stackpole-Sep,Stackpole-Jul"
Appasus major,species,Arthropoda,Insecta,Hemiptera,Belostomatidae,Appasus,Appasus major,Sample,1,5,Stackpole-Sep
Arachnida sp. BOLD:ACM9770,species,Arthropoda,Arachnida,NA,NA,NA,Arachnida sp. BOLD:ACM9770,Sample,2,"3,4","Oysterville-May,Long Beach-May"
Arthropoda environmental sample,species,Arthropoda,NA,NA,NA,NA,Arthropoda environmental sample,Sample,1,"3,4",Oysterville-Sep
Bathyagonus,genus,Chordata,Actinopteri,Perciformes,Agonidae,Bathyagonus,NA,Mock Community,5,"3,5",NA
Batillaria attramentaria,species,Mollusca,Gastropoda,NA,Batillariidae,Batillaria,Batillaria attramentaria,Mock Community,5,"3,5",NA
Batillaria attramentaria,species,Mollusca,Gastropoda,NA,Batillariidae,Batillaria,Batillaria attramentaria,Sample,4,"2,3,4","Oysterville-Jul,Oysterville-Sep"
Botrylloides violaceus,species,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,Botrylloides violaceus,Sample,2,"5,4",Stackpole-Sep
Botryllus schlosseri,species,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botryllus,Botryllus schlosseri,Sample,2,4,"Oysterville-Sep,Oysterville-May"
Carcinus maenas,species,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Mock Community,2,5,NA
Cecidomyiidae,family,Arthropoda,Insecta,Diptera,Cecidomyiidae,NA,NA,Sample,1,4,Oysterville-Sep
Ceratopogonidae,family,Arthropoda,Insecta,Diptera,Ceratopogonidae,NA,NA,Sample,1,"3,4",Oysterville-May
Chaetogaster diastrophus,species,Annelida,Clitellata,Tubificida,Naididae,Chaetogaster,Chaetogaster diastrophus,Sample,1,3,Oysterville-May
Cheumatopsyche lepida,species,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Cheumatopsyche,Cheumatopsyche lepida,Sample,1,2,Oysterville-Jul
Chordariaceae,family,NA,Phaeophyceae,Ectocarpales,Chordariaceae,NA,NA,Sample,3,"4,5","Oysterville-Sep,Stackpole-Jul"
Chordariaceae sp. 1 AP-2016,species,NA,Phaeophyceae,Ectocarpales,Chordariaceae,NA,Chordariaceae sp. 1 AP-2016,Mock Community,1,3,NA
Chordariaceae sp. 15 AP-2014,species,NA,Phaeophyceae,Ectocarpales,Chordariaceae,NA,Chordariaceae sp. 15 AP-2014,Sample,1,2,Oysterville-Jul
Clunio tsushimensis,species,Arthropoda,Insecta,Diptera,Chironomidae,Clunio,Clunio tsushimensis,Sample,1,2,Long Beach-Sep
Cottus,genus,Chordata,Actinopteri,Perciformes,Cottidae,Cottus,NA,Mock Community,5,"3,5",NA
Crangon crangon,species,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon crangon,Mock Community,4,"3,5",NA
Crangon crangon,species,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon crangon,Sample,1,3,Oysterville-Sep
Crangon franciscorum,species,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Mock Community,4,"3,5",NA
Crangon franciscorum,species,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Sample,10,"2,3,4,5","Long Beach-Sep,Oysterville-Sep,Stackpole-Sep,Stackpole-Jul"
Crangon sp. UF_53625,species,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon sp. UF_53625,Sample,2,3,Oysterville-May
Cucurbitaceae,family,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,NA,NA,Sample,2,5,"Stackpole-Sep,Nahcotta-Sep"
Culex tritaeniorhynchus,species,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex tritaeniorhynchus,Sample,1,5,Nahcotta-Sep
Cyclopterus lumpus,species,Chordata,Actinopteri,Perciformes,Cyclopteridae,Cyclopterus,Cyclopterus lumpus,Mock Community,2,5,NA
Cyclopterus lumpus,species,Chordata,Actinopteri,Perciformes,Cyclopteridae,Cyclopterus,Cyclopterus lumpus,Sample,2,3,Oysterville-May
