obs,group,mean,median,lo,hi,species
1,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
2,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
3,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
4,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
5,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
6,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
7,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
8,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
9,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
10,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
11,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
12,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
13,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
14,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
15,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
16,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
17,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
18,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
19,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
20,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
21,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
22,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
23,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
24,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
25,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
26,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
27,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
28,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
29,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
30,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
31,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
32,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
33,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
34,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
35,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
36,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
37,1,0.11501723886422606,0.1145123275650766,0.09201314545799862,0.1414804898199589,Crangon franciscorum
1,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
2,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
3,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
4,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
5,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
6,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
7,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
8,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
9,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
10,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
11,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
12,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
13,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
14,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
15,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
16,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
17,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
18,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
19,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
20,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
21,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
22,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
23,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
24,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
25,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
26,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
27,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
28,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
29,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
30,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
31,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
32,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
33,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
34,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
35,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
36,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
37,2,0.11665766935822852,0.11611131553663728,0.09379046346393632,0.14276130022347336,Hemigrapsus oregonensis
1,3,0.14037336751736085,0.1397319911123696,0.11340903017800623,0.17044232304182122,Leptocottus armatus
2,3,0.14037336751736085,0.1397319911123696,0.11340903017800623,0.17044232304182122,Leptocottus armatus
